,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Print Capacity,Assembling Capacity,Collection Capacity
0,1999.0,0.0,49.0,1.0,0.0,1.0,300.0,0.0,0.0,0.0,0.0,0.0,301.0,301.0,0.0,0.788,0.788,0.0,0.0,0.0,0.0,45,98,1598,1696,1.0,1.0,301.0
1,1999.0,0.0,49.0,1.0,0.0,1.0,300.0,0.0,0.0,0.0,0.0,0.0,301.0,301.0,0.0,0.806,0.806,0.0,0.0,0.0,0.0,45,98,1598,1696,1.0,1.0,301.0
2,1999.0,0.0,49.0,1.0,0.0,1.0,300.0,0.0,0.0,0.0,0.0,0.0,301.0,301.0,0.0,0.822,0.822,0.0,0.0,0.0,0.0,45,98,1598,1696,1.0,1.0,301.0
3,1999.0,0.0,49.0,1.0,0.0,1.0,300.0,0.0,0.0,0.0,0.0,0.0,301.0,301.0,0.0,0.826,0.826,0.0,0.0,0.0,0.0,45,98,1598,1696,1.0,1.0,301.0
4,1999.0,0.0,49.0,1.0,0.0,1.0,300.0,0.0,0.0,0.0,0.0,0.0,301.0,301.0,0.0,0.773,0.773,0.0,0.0,0.0,0.0,45,98,1598,1696,1.0,1.0,301.0
5,1999.0,0.0,49.0,1.0,0.0,1.0,300.0,0.0,0.0,0.0,0.0,0.0,301.0,301.0,0.0,0.738,0.738,0.0,0.0,0.0,0.0,45,98,1598,1696,1.0,1.0,301.0
6,1999.0,0.0,49.0,1.0,0.0,1.0,300.0,0.0,0.0,0.0,0.0,0.0,301.0,301.0,0.0,0.784,0.784,0.0,0.0,0.0,0.0,45,98,1598,1696,1.0,1.0,301.0
7,1999.0,0.0,49.0,1.0,0.0,1.0,300.0,0.0,0.0,0.0,0.0,0.0,301.0,301.0,0.0,0.777,0.777,0.0,0.0,0.0,0.0,45,98,1598,1696,1.0,1.0,301.0
8,1999.0,0.0,49.0,1.0,0.0,1.0,300.0,0.0,0.0,0.0,0.0,0.0,301.0,301.0,0.0,0.752,0.752,0.0,0.0,0.0,0.0,45,98,1598,1696,1.0,1.0,301.0
9,1999.0,0.0,49.0,1.0,0.0,1.0,300.0,0.0,0.0,0.0,0.0,0.0,301.0,301.0,0.0,0.81,0.81,0.0,0.0,0.0,0.0,45,98,1598,1696,1.0,1.0,301.0
