,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter
0,0.0,298.0,97.0,49.0,500.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.91,0.91,0.0,0.0,0.0,0.0
1,1.0,298.0,97.0,49.0,500.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.91,0.91,0.0,0.0,0.0,0.0
2,2.0,298.0,98.0,48.0,500.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.91,0.91,0.0,0.0,0.0,0.0
3,3.0,298.0,98.0,48.0,500.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.91,0.91,0.0,0.0,0.0,0.0
4,4.0,294.0,91.0,47.0,500.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.862,0.862,0.0,0.0,0.0,0.0
5,5.0,294.0,91.0,47.0,500.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.862,0.862,0.0,0.0,0.0,0.0
6,6.0,294.0,92.0,46.0,500.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.862,0.862,0.0,0.0,0.0,0.0
7,7.0,294.0,92.0,46.0,500.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.862,0.862,0.0,0.0,0.0,0.0
8,8.0,288.0,82.0,44.0,500.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,5.0,0.0,0.776,0.776,0.0,0.0,0.0,0.0
9,9.0,288.0,82.0,44.0,500.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,5.0,0.0,0.776,0.776,0.0,0.0,0.0,0.0
10,10.0,288.0,84.0,42.0,500.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,5.0,0.0,0.776,0.776,0.0,0.0,0.0,0.0
11,11.0,288.0,84.0,42.0,500.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,5.0,0.0,0.776,0.776,0.0,0.0,0.0,0.0
12,12.0,280.0,71.0,39.0,500.0,0.0,0.0,4.0,3.0,4.0,3.0,0.0,0.0,7.0,1.0,0.767,0.717,0.0,0.0,1.0,0.0
13,13.0,280.0,71.0,39.0,500.0,0.0,0.0,4.0,3.0,4.0,3.0,0.0,0.0,7.0,1.0,0.767,0.717,0.0,0.0,1.0,0.0
14,14.0,280.0,74.0,36.0,500.0,0.0,0.0,4.0,3.0,4.0,3.0,0.0,0.0,7.0,1.0,0.767,0.717,0.0,0.0,1.0,0.0
15,15.0,280.0,74.0,36.0,500.0,0.0,0.0,4.0,3.0,4.0,3.0,0.0,0.0,7.0,1.0,0.767,0.717,0.0,0.0,1.0,0.0
