,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter
0,89.0,0.0,49.0,1.0,0.0,0.0,0.0,47.0,50.0,0.0,0.0,0.0,97.0,97.0,55.0,0.665,0.575,0.0,0.0,32.0,23.0
1,89.0,0.0,49.0,1.0,0.0,0.0,0.0,53.0,48.0,0.0,0.0,0.0,101.0,101.0,51.0,0.673,0.591,0.0,0.0,28.0,23.0
2,89.0,0.0,49.0,1.0,0.0,0.0,0.0,56.0,53.0,0.0,0.0,0.0,109.0,109.0,43.0,0.668,0.595,0.0,0.0,24.0,19.0
3,89.0,0.0,49.0,1.0,0.0,0.0,0.0,54.0,63.0,0.0,0.0,0.0,117.0,117.0,35.0,0.651,0.601,0.0,0.0,26.0,9.0
4,89.0,0.0,49.0,1.0,0.0,0.0,0.0,51.0,43.0,0.0,0.0,0.0,94.0,94.0,58.0,0.663,0.568,0.0,0.0,26.0,32.0
5,89.0,0.0,49.0,1.0,0.0,0.0,0.0,51.0,56.0,0.0,0.0,0.0,107.0,107.0,45.0,0.641,0.576,0.0,0.0,23.0,22.0
6,89.0,0.0,49.0,1.0,0.0,0.0,0.0,61.0,60.0,0.0,0.0,0.0,121.0,121.0,31.0,0.71,0.653,0.0,0.0,18.0,13.0
7,89.0,0.0,49.0,1.0,0.0,0.0,0.0,53.0,49.0,0.0,0.0,0.0,102.0,102.0,50.0,0.646,0.572,0.0,0.0,22.0,28.0
8,89.0,0.0,49.0,1.0,0.0,0.0,0.0,60.0,59.0,0.0,0.0,0.0,119.0,119.0,33.0,0.659,0.607,0.0,0.0,16.0,17.0
9,89.0,0.0,49.0,1.0,0.0,0.0,0.0,59.0,43.0,0.0,0.0,0.0,102.0,102.0,50.0,0.654,0.579,0.0,0.0,25.0,25.0
10,89.0,0.0,49.0,1.0,0.0,0.0,0.0,58.0,62.0,0.0,0.0,0.0,120.0,120.0,32.0,0.655,0.611,0.0,0.0,14.0,18.0
11,89.0,0.0,49.0,1.0,0.0,0.0,0.0,44.0,56.0,0.0,0.0,0.0,100.0,100.0,52.0,0.642,0.568,0.0,0.0,29.0,23.0
12,89.0,0.0,49.0,1.0,0.0,0.0,0.0,37.0,42.0,0.0,0.0,0.0,79.0,79.0,73.0,0.623,0.523,0.0,0.0,43.0,30.0
13,89.0,0.0,49.0,1.0,0.0,0.0,0.0,55.0,61.0,0.0,0.0,0.0,116.0,116.0,36.0,0.648,0.593,0.0,0.0,13.0,23.0
