,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Print Capacity,Assembling Capacity,Collection Capacity
0,199.0,0.0,49.0,1.0,0.0,0.0,0.0,74.0,60.0,0.0,0.0,0.0,134.0,134.0,18.0,0.692,0.66,0.0,0.0,10.0,8.0,50,24,57,59,60.0,74.0,134.0
1,199.0,0.0,49.0,1.0,0.0,0.0,0.0,38.0,42.0,0.0,0.0,0.0,80.0,80.0,72.0,0.627,0.527,0.0,0.0,37.0,35.0,73,41,72,28,42.0,38.0,80.0
2,199.0,0.0,49.0,1.0,0.0,0.0,0.0,49.0,48.0,0.0,0.0,0.0,97.0,97.0,55.0,0.642,0.563,0.0,0.0,33.0,22.0,63,28,61,27,48.0,49.0,97.0
3,199.0,0.0,49.0,1.0,0.0,0.0,0.0,50.0,48.0,0.0,0.0,0.0,98.0,98.0,54.0,0.629,0.559,0.0,0.0,28.0,26.0,65,0,65,30,48.0,50.0,98.0
4,199.0,0.0,49.0,1.0,0.0,0.0,0.0,51.0,58.0,0.0,0.0,0.0,109.0,109.0,43.0,0.652,0.584,0.0,0.0,22.0,21.0,60,0,59,26,58.0,51.0,109.0
5,199.0,0.0,49.0,1.0,0.0,0.0,0.0,45.0,47.0,0.0,0.0,0.0,92.0,92.0,60.0,0.633,0.546,0.0,0.0,31.0,29.0,62,25,65,26,47.0,45.0,92.0
6,199.0,0.0,49.0,1.0,0.0,0.0,0.0,60.0,69.0,0.0,0.0,0.0,129.0,129.0,23.0,0.669,0.635,0.0,0.0,10.0,13.0,52,25,56,57,69.0,60.0,129.0
7,199.0,0.0,49.0,1.0,0.0,0.0,0.0,40.0,38.0,0.0,0.0,0.0,78.0,78.0,74.0,0.635,0.524,0.0,0.0,37.0,37.0,66,28,78,80,38.0,40.0,78.0
8,199.0,0.0,49.0,1.0,0.0,0.0,0.0,53.0,61.0,0.0,0.0,0.0,114.0,114.0,38.0,0.665,0.603,0.0,0.0,22.0,16.0,58,27,57,38,61.0,53.0,114.0
9,199.0,0.0,49.0,1.0,0.0,0.0,0.0,66.0,52.0,0.0,0.0,0.0,118.0,118.0,34.0,0.672,0.614,0.0,0.0,13.0,21.0,52,27,58,60,52.0,66.0,118.0
10,199.0,0.0,49.0,1.0,0.0,0.0,0.0,57.0,55.0,0.0,0.0,0.0,112.0,112.0,40.0,0.667,0.608,0.0,0.0,21.0,19.0,56,35,62,64,55.0,57.0,112.0
11,199.0,0.0,49.0,1.0,0.0,0.0,0.0,41.0,41.0,0.0,0.0,0.0,82.0,82.0,70.0,0.621,0.529,0.0,0.0,33.0,37.0,66,24,80,82,41.0,41.0,82.0
12,199.0,0.0,49.0,1.0,0.0,0.0,0.0,56.0,55.0,0.0,0.0,0.0,111.0,111.0,41.0,0.667,0.601,0.0,0.0,23.0,18.0,53,24,62,64,55.0,56.0,111.0
13,199.0,0.0,49.0,1.0,0.0,0.0,0.0,49.0,54.0,0.0,0.0,0.0,103.0,103.0,49.0,0.639,0.564,0.0,0.0,27.0,22.0,62,24,60,30,54.0,49.0,103.0
14,199.0,0.0,49.0,1.0,0.0,0.0,0.0,55.0,49.0,0.0,0.0,0.0,104.0,104.0,48.0,0.647,0.576,0.0,0.0,22.0,26.0,55,24,61,64,49.0,55.0,104.0
15,199.0,0.0,49.0,1.0,0.0,0.0,0.0,67.0,49.0,0.0,0.0,0.0,116.0,116.0,36.0,0.674,0.614,0.0,0.0,20.0,16.0,51,0,60,62,49.0,67.0,116.0
16,199.0,0.0,49.0,1.0,0.0,0.0,0.0,66.0,61.0,0.0,0.0,0.0,127.0,127.0,25.0,0.679,0.641,0.0,0.0,14.0,11.0,54,27,54,34,61.0,66.0,127.0
17,199.0,0.0,49.0,1.0,0.0,0.0,0.0,56.0,50.0,0.0,0.0,0.0,106.0,106.0,46.0,0.691,0.611,0.0,0.0,19.0,27.0,61,31,62,64,50.0,56.0,106.0
18,199.0,0.0,49.0,1.0,0.0,0.0,0.0,48.0,38.0,0.0,0.0,0.0,86.0,86.0,66.0,0.633,0.522,0.0,0.0,38.0,28.0,59,28,82,86,38.0,48.0,86.0
