,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter
0,99.0,0.0,49.0,1.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,39.0,0.625,0.535,39.0,0.0,0.0,0.0
1,99.0,0.0,49.0,1.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,41.0,0.619,0.532,41.0,0.0,0.0,0.0
2,99.0,0.0,49.0,1.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,36.0,0.636,0.556,36.0,0.0,0.0,0.0
3,99.0,0.0,49.0,1.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,38.0,0.656,0.557,38.0,0.0,0.0,0.0
4,99.0,0.0,49.0,1.0,0.0,52.0,0.0,0.0,0.0,1.0,0.0,0.0,51.0,52.0,43.0,0.632,0.538,43.0,0.0,0.0,0.0
5,99.0,0.0,49.0,1.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,36.0,0.657,0.568,36.0,0.0,0.0,0.0
6,99.0,0.0,49.0,1.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,32.0,0.638,0.563,32.0,0.0,0.0,0.0
7,99.0,0.0,49.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,33.0,0.621,0.549,33.0,0.0,0.0,0.0
8,99.0,0.0,49.0,1.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,71.0,22.0,0.724,0.647,22.0,0.0,0.0,0.0
9,99.0,0.0,49.0,1.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,43.0,0.614,0.529,43.0,0.0,0.0,0.0
10,99.0,0.0,49.0,1.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,37.0,0.67,0.578,37.0,0.0,0.0,0.0
11,99.0,0.0,49.0,1.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,37.0,0.639,0.544,37.0,0.0,0.0,0.0
