,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Print Capacity,Assembling Capacity,Collection Capacity
0,149.0,0.0,49.0,1.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,39.0,0.643,0.551,39.0,0.0,0.0,0.0,92,31,89,32,57.0,57.0,57.0
1,149.0,0.0,49.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,32.0,0.644,0.566,32.0,0.0,0.0,0.0,83,30,81,31,64.0,64.0,64.0
2,149.0,0.0,49.0,1.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,73.0,22.0,0.647,0.596,22.0,0.0,0.0,0.0,84,31,81,32,73.0,73.0,73.0
3,149.0,0.0,49.0,1.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,71.0,24.0,0.664,0.604,24.0,0.0,0.0,0.0,83,36,80,31,71.0,71.0,71.0
4,149.0,0.0,49.0,1.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,34.0,0.644,0.562,34.0,0.0,0.0,0.0,90,34,87,35,61.0,61.0,61.0
5,149.0,0.0,49.0,1.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,52.0,0.62,0.5,52.0,0.0,0.0,0.0,110,24,106,36,42.0,42.0,42.0
6,149.0,0.0,49.0,1.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,37.0,0.657,0.57,37.0,0.0,0.0,0.0,93,26,91,36,61.0,61.0,61.0
7,149.0,0.0,49.0,1.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,21.0,0.642,0.585,21.0,0.0,0.0,0.0,77,38,75,32,74.0,74.0,74.0
8,149.0,0.0,49.0,1.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,30.0,0.641,0.568,30.0,0.0,0.0,0.0,86,25,83,32,65.0,65.0,65.0
9,149.0,0.0,49.0,1.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,26.0,0.667,0.59,26.0,0.0,0.0,0.0,83,30,80,31,65.0,65.0,65.0
10,149.0,0.0,49.0,1.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,36.0,0.627,0.547,36.0,0.0,0.0,0.0,97,33,94,34,61.0,61.0,61.0
11,149.0,0.0,49.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,34.0,0.631,0.559,34.0,0.0,0.0,0.0,89,24,86,34,64.0,64.0,64.0
12,149.0,0.0,49.0,1.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,21.0,0.703,0.635,21.0,0.0,0.0,0.0,77,38,74,32,75.0,75.0,75.0
13,149.0,0.0,49.0,1.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,26.0,0.672,0.603,26.0,0.0,0.0,0.0,79,44,76,31,68.0,68.0,68.0
14,149.0,0.0,49.0,1.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,38.0,0.606,0.532,38.0,0.0,0.0,0.0,98,24,95,40,61.0,61.0,61.0
15,149.0,0.0,49.0,1.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,36.0,0.646,0.557,36.0,0.0,0.0,0.0,97,25,94,35,61.0,61.0,61.0
16,149.0,0.0,49.0,1.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,48.0,0.596,0.506,48.0,0.0,0.0,0.0,95,27,92,33,48.0,48.0,48.0
