,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter
0,0.0,300.0,101.0,49.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.938,0.938,0.0,0.0,0.0,0.0
1,1.0,300.0,101.0,49.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.938,0.938,0.0,0.0,0.0,0.0
2,2.0,300.0,102.0,48.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.938,0.938,0.0,0.0,0.0,0.0
3,3.0,300.0,102.0,48.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.938,0.938,0.0,0.0,0.0,0.0
4,4.0,300.0,103.0,47.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.938,0.938,0.0,0.0,0.0,0.0
5,5.0,300.0,103.0,47.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.938,0.938,0.0,0.0,0.0,0.0
6,6.0,300.0,104.0,46.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.938,0.938,0.0,0.0,0.0,0.0
7,7.0,300.0,104.0,46.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.938,0.938,0.0,0.0,0.0,0.0
8,8.0,300.0,105.0,45.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.938,0.938,0.0,0.0,0.0,0.0
9,9.0,300.0,105.0,45.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.938,0.938,0.0,0.0,0.0,0.0
10,10.0,300.0,106.0,44.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.938,0.938,0.0,0.0,0.0,0.0
11,11.0,300.0,106.0,44.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.938,0.938,0.0,0.0,0.0,0.0
