,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter
0,0.0,297.0,94.0,50.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.891,0.891,0.0,0.0,0.0,0.0
1,1.0,297.0,94.0,50.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.891,0.891,0.0,0.0,0.0,0.0
2,2.0,297.0,94.0,50.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.891,0.891,0.0,0.0,0.0,0.0
3,3.0,297.0,94.0,50.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.891,0.891,0.0,0.0,0.0,0.0
4,4.0,297.0,94.0,50.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.891,0.891,0.0,0.0,0.0,0.0
5,5.0,297.0,94.0,50.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.891,0.891,0.0,0.0,0.0,0.0
6,6.0,294.0,89.0,49.0,500.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.768,0.768,0.0,0.0,0.0,0.0
7,7.0,291.0,83.0,49.0,500.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.768,0.768,0.0,0.0,0.0,0.0
8,8.0,291.0,83.0,49.0,500.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.768,0.768,0.0,0.0,0.0,0.0
9,9.0,291.0,83.0,49.0,500.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.768,0.768,0.0,0.0,0.0,0.0
10,10.0,291.0,83.0,49.0,500.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.768,0.768,0.0,0.0,0.0,0.0
11,11.0,291.0,83.0,49.0,500.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.768,0.768,0.0,0.0,0.0,0.0
12,12.0,288.0,78.0,48.0,500.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.802,0.802,0.0,0.0,0.0,0.0
13,13.0,282.0,67.0,47.0,500.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,0.0,0.745,0.745,0.0,0.0,0.0,0.0
14,14.0,279.0,61.0,47.0,500.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.745,0.745,0.0,0.0,0.0,0.0
15,15.0,279.0,61.0,47.0,500.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.745,0.745,0.0,0.0,0.0,0.0
16,16.0,279.0,61.0,47.0,500.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.745,0.745,0.0,0.0,0.0,0.0
17,17.0,279.0,61.0,47.0,500.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.745,0.745,0.0,0.0,0.0,0.0
18,18.0,276.0,56.0,46.0,500.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,0.752,0.752,0.0,0.0,0.0,0.0
19,19.0,267.0,40.0,44.0,500.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,7.0,0.0,0.71,0.71,0.0,0.0,0.0,0.0
20,20.0,261.0,29.0,43.0,500.0,7.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,7.0,1.0,0.71,0.667,1.0,0.0,0.0,0.0
21,21.0,261.0,29.0,43.0,500.0,7.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,7.0,1.0,0.71,0.667,1.0,0.0,0.0,0.0
22,22.0,261.0,29.0,44.0,499.0,7.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,7.0,1.0,0.71,0.667,1.0,0.0,0.0,0.0
23,23.0,258.0,23.0,44.0,499.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,1.0,0.71,0.667,1.0,0.0,0.0,0.0
24,24.0,255.0,18.0,43.0,499.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,8.0,1.0,0.73,0.689,1.0,0.0,0.0,0.0
25,25.0,246.0,4.0,39.0,499.0,11.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,11.0,1.0,0.708,0.679,1.0,0.0,0.0,0.0
26,26.0,243.0,3.0,34.0,499.0,12.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,12.0,2.0,0.692,0.649,2.0,0.0,0.0,0.0
27,27.0,243.0,4.0,34.0,498.0,12.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,12.0,2.0,0.692,0.649,2.0,0.0,0.0,0.0
28,28.0,243.0,5.0,37.0,494.0,12.0,0.0,0.0,0.0,6.0,2.0,4.0,0.0,12.0,2.0,0.692,0.649,2.0,0.0,0.0,0.0
29,29.0,240.0,3.0,34.0,493.0,12.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,12.0,3.0,0.692,0.629,3.0,0.0,0.0,0.0
30,30.0,240.0,6.0,32.0,492.0,13.0,0.0,0.0,0.0,5.0,6.0,1.0,1.0,13.0,3.0,0.701,0.641,3.0,0.0,0.0,0.0
31,31.0,237.0,6.0,30.0,488.0,15.0,0.0,0.0,0.0,3.0,6.0,4.0,2.0,15.0,4.0,0.704,0.641,4.0,0.0,0.0,0.0
32,32.0,231.0,0.0,26.0,486.0,16.0,0.0,0.0,0.0,4.0,9.0,2.0,1.0,16.0,4.0,0.698,0.639,4.0,0.0,0.0,0.0
33,33.0,231.0,3.0,27.0,482.0,16.0,0.0,0.0,0.0,4.0,8.0,4.0,0.0,16.0,4.0,0.698,0.639,4.0,0.0,0.0,0.0
34,34.0,228.0,0.0,29.0,477.0,16.0,0.0,0.0,0.0,5.0,6.0,5.0,0.0,16.0,4.0,0.698,0.639,4.0,0.0,0.0,0.0
35,35.0,228.0,6.0,26.0,474.0,16.0,0.0,0.0,0.0,4.0,9.0,3.0,0.0,16.0,5.0,0.698,0.63,5.0,0.0,0.0,0.0
36,36.0,225.0,2.0,27.0,471.0,16.0,0.0,0.0,0.0,5.0,8.0,3.0,0.0,16.0,5.0,0.698,0.63,5.0,0.0,0.0,0.0
37,37.0,222.0,0.0,29.0,465.0,17.0,0.0,0.0,0.0,5.0,5.0,6.0,1.0,17.0,5.0,0.695,0.631,5.0,0.0,0.0,0.0
38,38.0,219.0,4.0,21.0,463.0,19.0,0.0,0.0,0.0,4.0,11.0,2.0,2.0,19.0,5.0,0.681,0.625,5.0,0.0,0.0,0.0
39,39.0,216.0,1.0,21.0,460.0,19.0,0.0,0.0,0.0,5.0,11.0,3.0,0.0,19.0,5.0,0.681,0.625,5.0,0.0,0.0,0.0
40,40.0,216.0,6.0,24.0,452.0,20.0,0.0,0.0,0.0,4.0,7.0,8.0,1.0,20.0,5.0,0.678,0.625,5.0,0.0,0.0,0.0
41,41.0,210.0,1.0,20.0,449.0,20.0,0.0,0.0,0.0,6.0,11.0,3.0,0.0,20.0,5.0,0.678,0.625,5.0,0.0,0.0,0.0
42,42.0,210.0,6.0,19.0,445.0,21.0,0.0,0.0,0.0,5.0,11.0,4.0,1.0,21.0,5.0,0.678,0.627,5.0,0.0,0.0,0.0
43,43.0,207.0,6.0,20.0,438.0,22.0,0.0,0.0,0.0,5.0,9.0,7.0,1.0,22.0,5.0,0.677,0.628,5.0,0.0,0.0,0.0
44,44.0,201.0,1.0,17.0,434.0,22.0,0.0,0.0,0.0,6.0,12.0,4.0,0.0,22.0,6.0,0.677,0.62,6.0,0.0,0.0,0.0
45,45.0,201.0,6.0,17.0,429.0,22.0,0.0,0.0,0.0,5.0,12.0,5.0,0.0,22.0,7.0,0.677,0.612,7.0,0.0,0.0,0.0
46,46.0,198.0,4.0,20.0,422.0,22.0,0.0,0.0,0.0,6.0,9.0,7.0,0.0,22.0,7.0,0.677,0.612,7.0,0.0,0.0,0.0
47,47.0,192.0,1.0,16.0,417.0,24.0,0.0,0.0,0.0,6.0,11.0,5.0,2.0,24.0,7.0,0.668,0.61,7.0,0.0,0.0,0.0
48,48.0,189.0,1.0,14.0,413.0,24.0,0.0,0.0,0.0,7.0,13.0,4.0,0.0,24.0,7.0,0.668,0.61,7.0,0.0,0.0,0.0
49,49.0,189.0,6.0,16.0,406.0,24.0,0.0,0.0,0.0,6.0,11.0,7.0,0.0,24.0,8.0,0.668,0.605,8.0,0.0,0.0,0.0
50,50.0,183.0,1.0,15.0,400.0,24.0,0.0,0.0,0.0,6.0,12.0,6.0,0.0,24.0,10.0,0.668,0.591,10.0,0.0,0.0,0.0
51,51.0,180.0,0.0,15.0,395.0,24.0,0.0,0.0,0.0,7.0,12.0,5.0,0.0,24.0,10.0,0.668,0.591,10.0,0.0,0.0,0.0
52,52.0,177.0,0.0,16.0,388.0,25.0,0.0,0.0,0.0,7.0,10.0,7.0,1.0,25.0,10.0,0.669,0.594,10.0,0.0,0.0,0.0
53,53.0,174.0,4.0,11.0,383.0,26.0,0.0,0.0,0.0,6.0,14.0,5.0,1.0,26.0,11.0,0.664,0.587,11.0,0.0,0.0,0.0
54,54.0,171.0,4.0,10.0,378.0,26.0,0.0,0.0,0.0,6.0,15.0,5.0,0.0,26.0,12.0,0.664,0.582,12.0,0.0,0.0,0.0
55,55.0,168.0,2.0,15.0,369.0,26.0,0.0,0.0,0.0,7.0,10.0,9.0,0.0,26.0,12.0,0.664,0.582,12.0,0.0,0.0,0.0
56,56.0,165.0,6.0,11.0,363.0,26.0,0.0,0.0,0.0,6.0,14.0,6.0,0.0,26.0,14.0,0.664,0.574,14.0,0.0,0.0,0.0
57,57.0,162.0,6.0,9.0,359.0,26.0,0.0,0.0,0.0,6.0,16.0,4.0,0.0,26.0,15.0,0.664,0.571,15.0,0.0,0.0,0.0
58,58.0,159.0,5.0,14.0,349.0,27.0,0.0,0.0,0.0,6.0,10.0,10.0,1.0,27.0,15.0,0.662,0.572,15.0,0.0,0.0,0.0
59,59.0,153.0,4.0,9.0,343.0,28.0,0.0,0.0,0.0,7.0,14.0,6.0,1.0,28.0,15.0,0.66,0.572,15.0,0.0,0.0,0.0
60,60.0,150.0,5.0,6.0,339.0,28.0,0.0,0.0,0.0,7.0,17.0,4.0,0.0,28.0,16.0,0.66,0.57,16.0,0.0,0.0,0.0
61,61.0,147.0,4.0,11.0,329.0,29.0,0.0,0.0,0.0,7.0,11.0,10.0,1.0,29.0,16.0,0.657,0.571,16.0,0.0,0.0,0.0
