,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Print Capacity,Assembling Capacity,Collection Capacity
0,99.0,0.0,49.0,1.0,0.0,0.0,56.0,33.0,46.0,0.0,0.0,0.0,135.0,135.0,52.0,0.642,0.58,0.0,21.0,14.0,17.0,45,48,69,71,46.0,33.0,135.0
1,99.0,0.0,49.0,1.0,0.0,0.0,29.0,27.0,39.0,0.0,0.0,0.0,95.0,95.0,93.0,0.614,0.511,0.0,37.0,23.0,33.0,55,30,80,82,39.0,27.0,95.0
2,99.0,0.0,49.0,1.0,0.0,0.0,46.0,34.0,51.0,0.0,0.0,0.0,131.0,131.0,56.0,0.652,0.585,0.0,17.0,23.0,16.0,44,37,63,64,51.0,34.0,131.0
3,99.0,0.0,49.0,1.0,0.0,0.0,46.0,35.0,45.0,0.0,0.0,0.0,126.0,126.0,61.0,0.672,0.585,0.0,27.0,12.0,22.0,45,56,70,72,45.0,35.0,126.0
4,99.0,0.0,49.0,1.0,0.0,0.0,38.0,31.0,44.0,0.0,0.0,0.0,113.0,113.0,75.0,0.65,0.56,0.0,26.0,20.0,29.0,50,35,72,74,44.0,31.0,113.0
5,99.0,0.0,49.0,1.0,0.0,0.0,42.0,36.0,50.0,0.0,0.0,0.0,128.0,128.0,61.0,0.663,0.583,0.0,27.0,12.0,22.0,45,31,64,66,50.0,36.0,128.0
6,99.0,0.0,49.0,1.0,0.0,0.0,51.0,27.0,34.0,0.0,0.0,0.0,112.0,112.0,74.0,0.659,0.561,0.0,30.0,15.0,29.0,45,33,76,79,34.0,27.0,112.0
7,99.0,0.0,49.0,1.0,0.0,0.0,41.0,29.0,39.0,0.0,0.0,0.0,109.0,109.0,79.0,0.603,0.526,0.0,24.0,19.0,36.0,49,37,72,72,39.0,29.0,109.0
8,99.0,0.0,49.0,1.0,0.0,0.0,36.0,28.0,44.0,0.0,0.0,0.0,108.0,108.0,78.0,0.642,0.549,0.0,35.0,21.0,22.0,50,59,68,70,44.0,28.0,108.0
9,99.0,0.0,49.0,1.0,0.0,0.0,45.0,33.0,54.0,0.0,0.0,0.0,132.0,132.0,55.0,0.711,0.629,0.0,23.0,17.0,15.0,45,55,64,66,54.0,33.0,132.0
10,99.0,0.0,49.0,1.0,0.0,0.0,39.0,29.0,36.0,0.0,0.0,0.0,104.0,104.0,83.0,0.65,0.551,0.0,29.0,21.0,33.0,54,58,86,88,36.0,29.0,104.0
11,99.0,0.0,49.0,1.0,0.0,0.0,53.0,38.0,48.0,0.0,0.0,0.0,139.0,139.0,51.0,0.676,0.608,0.0,19.0,8.0,24.0,43,37,69,72,48.0,38.0,139.0
12,99.0,0.0,49.0,1.0,0.0,0.0,45.0,37.0,48.0,0.0,0.0,0.0,130.0,130.0,59.0,0.634,0.569,0.0,23.0,12.0,24.0,43,33,69,70,48.0,37.0,130.0
13,99.0,0.0,49.0,1.0,0.0,0.0,50.0,43.0,59.0,0.0,0.0,0.0,152.0,152.0,37.0,0.685,0.637,0.0,12.0,9.0,16.0,44,30,59,60,59.0,43.0,152.0
14,99.0,0.0,49.0,1.0,0.0,0.0,44.0,38.0,49.0,0.0,0.0,0.0,131.0,131.0,59.0,0.668,0.593,0.0,20.0,16.0,23.0,44,58,65,66,49.0,38.0,131.0
15,99.0,0.0,49.0,1.0,0.0,0.0,55.0,33.0,57.0,0.0,0.0,0.0,145.0,145.0,43.0,0.7,0.637,0.0,19.0,10.0,14.0,46,33,68,70,57.0,33.0,145.0
16,99.0,0.0,49.0,1.0,0.0,0.0,50.0,32.0,46.0,0.0,0.0,0.0,128.0,128.0,58.0,0.636,0.56,0.0,20.0,23.0,15.0,51,45,71,73,46.0,32.0,128.0
17,99.0,0.0,49.0,1.0,0.0,0.0,37.0,37.0,43.0,0.0,0.0,0.0,117.0,117.0,74.0,0.636,0.543,0.0,25.0,14.0,35.0,51,34,72,74,43.0,37.0,117.0
18,99.0,0.0,49.0,1.0,0.0,0.0,49.0,30.0,50.0,0.0,0.0,0.0,129.0,129.0,60.0,0.665,0.59,0.0,18.0,13.0,29.0,43,33,66,68,50.0,30.0,129.0
19,99.0,0.0,49.0,1.0,0.0,0.0,48.0,36.0,50.0,0.0,0.0,0.0,134.0,134.0,55.0,0.651,0.589,0.0,19.0,12.0,24.0,48,34,68,69,50.0,36.0,134.0
20,99.0,0.0,49.0,1.0,0.0,0.0,44.0,36.0,53.0,0.0,0.0,0.0,133.0,133.0,57.0,0.655,0.586,0.0,22.0,13.0,22.0,48,35,68,69,53.0,36.0,133.0
