,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Print Capacity,Assembling Capacity,Collection Capacity
0,1999.0,0.0,49.0,1.0,0.0,0.0,70.0,41.0,60.0,0.0,0.0,0.0,171.0,171.0,18.0,0.741,0.714,0.0,7.0,7.0,4.0,47,57,68,0,60.0,41.0,171.0
1,1999.0,0.0,49.0,1.0,0.0,0.0,39.0,36.0,44.0,0.0,0.0,0.0,119.0,119.0,70.0,0.622,0.546,0.0,26.0,18.0,26.0,47,57,68,0,44.0,36.0,119.0
2,1999.0,0.0,49.0,1.0,0.0,0.0,46.0,29.0,50.0,0.0,0.0,0.0,125.0,125.0,64.0,0.639,0.566,0.0,23.0,17.0,24.0,47,57,68,0,50.0,29.0,125.0
3,1999.0,0.0,49.0,1.0,0.0,0.0,32.0,32.0,43.0,0.0,0.0,0.0,107.0,107.0,80.0,0.634,0.538,0.0,31.0,20.0,29.0,47,57,68,0,43.0,32.0,107.0
4,1999.0,0.0,49.0,1.0,0.0,0.0,37.0,32.0,50.0,0.0,0.0,0.0,119.0,119.0,70.0,0.677,0.58,0.0,25.0,23.0,22.0,47,57,68,0,50.0,32.0,119.0
5,1999.0,0.0,49.0,1.0,0.0,0.0,42.0,27.0,42.0,0.0,0.0,0.0,111.0,111.0,76.0,0.644,0.545,0.0,33.0,17.0,26.0,47,57,68,0,42.0,27.0,111.0
6,1999.0,0.0,49.0,1.0,0.0,0.0,41.0,27.0,37.0,0.0,0.0,0.0,105.0,105.0,84.0,0.619,0.532,0.0,30.0,13.0,41.0,47,57,68,0,37.0,27.0,105.0
7,1999.0,0.0,49.0,1.0,0.0,0.0,45.0,36.0,55.0,0.0,0.0,0.0,136.0,136.0,52.0,0.651,0.589,0.0,17.0,15.0,20.0,47,57,68,0,55.0,36.0,136.0
8,1999.0,0.0,49.0,1.0,0.0,0.0,46.0,32.0,46.0,0.0,0.0,0.0,124.0,124.0,64.0,0.667,0.587,0.0,23.0,12.0,29.0,47,57,68,0,46.0,32.0,124.0
9,1999.0,0.0,49.0,1.0,0.0,0.0,39.0,32.0,41.0,0.0,0.0,0.0,112.0,112.0,74.0,0.651,0.554,0.0,27.0,22.0,25.0,47,57,68,0,41.0,32.0,112.0
10,1999.0,0.0,49.0,1.0,0.0,0.0,61.0,36.0,57.0,0.0,0.0,0.0,154.0,154.0,35.0,0.679,0.632,0.0,11.0,15.0,9.0,47,57,68,0,57.0,36.0,154.0
11,1999.0,0.0,49.0,1.0,0.0,0.0,54.0,37.0,57.0,0.0,0.0,0.0,148.0,148.0,41.0,0.669,0.613,0.0,16.0,9.0,16.0,47,57,68,0,57.0,37.0,148.0
12,1999.0,0.0,49.0,1.0,0.0,0.0,41.0,31.0,45.0,0.0,0.0,0.0,117.0,117.0,71.0,0.65,0.561,0.0,17.0,24.0,30.0,47,57,68,0,45.0,31.0,117.0
13,1999.0,0.0,49.0,1.0,0.0,0.0,44.0,26.0,38.0,0.0,0.0,0.0,108.0,108.0,78.0,0.648,0.546,0.0,31.0,20.0,27.0,47,57,68,0,38.0,26.0,108.0
14,1999.0,0.0,49.0,1.0,0.0,0.0,34.0,30.0,37.0,0.0,0.0,0.0,101.0,101.0,87.0,0.627,0.524,0.0,34.0,12.0,41.0,47,57,68,0,37.0,30.0,101.0
15,1999.0,0.0,49.0,1.0,0.0,0.0,48.0,36.0,45.0,0.0,0.0,0.0,129.0,129.0,60.0,0.669,0.592,0.0,19.0,15.0,26.0,47,57,68,0,45.0,36.0,129.0
16,1999.0,0.0,49.0,1.0,0.0,0.0,53.0,34.0,45.0,0.0,0.0,0.0,132.0,132.0,54.0,0.662,0.591,0.0,21.0,14.0,19.0,47,57,68,0,45.0,34.0,132.0
17,1999.0,0.0,49.0,1.0,0.0,0.0,35.0,24.0,41.0,0.0,0.0,0.0,100.0,100.0,87.0,0.62,0.519,0.0,32.0,24.0,31.0,47,57,68,0,41.0,24.0,100.0
18,1999.0,0.0,49.0,1.0,0.0,0.0,47.0,30.0,53.0,0.0,0.0,0.0,130.0,130.0,58.0,0.655,0.578,0.0,14.0,18.0,26.0,47,57,68,0,53.0,30.0,130.0
19,1999.0,0.0,49.0,1.0,0.0,0.0,54.0,37.0,47.0,0.0,0.0,0.0,138.0,138.0,51.0,0.657,0.596,0.0,18.0,10.0,23.0,47,57,68,0,47.0,37.0,138.0
20,1999.0,0.0,49.0,1.0,0.0,0.0,52.0,38.0,51.0,0.0,0.0,0.0,141.0,141.0,48.0,0.649,0.59,0.0,19.0,9.0,20.0,47,57,68,0,51.0,38.0,141.0
21,1999.0,0.0,49.0,1.0,0.0,0.0,52.0,29.0,55.0,0.0,0.0,0.0,136.0,136.0,51.0,0.631,0.577,0.0,19.0,21.0,11.0,47,57,68,0,55.0,29.0,136.0
22,1999.0,0.0,49.0,1.0,0.0,0.0,45.0,30.0,44.0,0.0,0.0,0.0,119.0,119.0,70.0,0.636,0.55,0.0,26.0,14.0,30.0,47,57,68,0,44.0,30.0,119.0
23,1999.0,0.0,49.0,1.0,0.0,0.0,48.0,34.0,54.0,0.0,0.0,0.0,136.0,136.0,54.0,0.659,0.595,0.0,21.0,9.0,24.0,47,57,68,0,54.0,34.0,136.0
24,1999.0,0.0,49.0,1.0,0.0,0.0,42.0,37.0,46.0,0.0,0.0,0.0,125.0,125.0,63.0,0.635,0.563,0.0,21.0,16.0,26.0,47,57,68,0,46.0,37.0,125.0
25,1999.0,0.0,49.0,1.0,0.0,0.0,63.0,30.0,55.0,0.0,0.0,0.0,148.0,148.0,39.0,0.702,0.641,0.0,14.0,13.0,12.0,47,57,68,0,55.0,30.0,148.0
26,1999.0,0.0,49.0,1.0,0.0,0.0,48.0,36.0,56.0,0.0,0.0,0.0,140.0,140.0,48.0,0.662,0.599,0.0,23.0,16.0,9.0,47,57,68,0,56.0,36.0,140.0
27,1999.0,0.0,49.0,1.0,0.0,0.0,39.0,27.0,43.0,0.0,0.0,0.0,109.0,109.0,79.0,0.668,0.563,0.0,27.0,18.0,34.0,47,57,68,0,43.0,27.0,109.0
28,1999.0,0.0,49.0,1.0,0.0,0.0,40.0,21.0,32.0,0.0,0.0,0.0,93.0,93.0,93.0,0.626,0.521,0.0,39.0,17.0,37.0,47,57,68,0,32.0,21.0,93.0
29,1999.0,0.0,49.0,1.0,0.0,0.0,55.0,31.0,48.0,0.0,0.0,0.0,134.0,134.0,53.0,0.637,0.582,0.0,20.0,12.0,21.0,47,57,68,0,48.0,31.0,134.0
30,1999.0,0.0,49.0,1.0,0.0,0.0,50.0,39.0,53.0,0.0,0.0,0.0,142.0,142.0,46.0,0.666,0.603,0.0,14.0,13.0,19.0,47,57,68,0,53.0,39.0,142.0
31,1999.0,0.0,49.0,1.0,0.0,0.0,43.0,31.0,48.0,0.0,0.0,0.0,122.0,122.0,66.0,0.652,0.57,0.0,23.0,16.0,27.0,47,57,68,0,48.0,31.0,122.0
32,1999.0,0.0,49.0,1.0,0.0,0.0,43.0,32.0,40.0,0.0,0.0,0.0,115.0,115.0,73.0,0.648,0.556,0.0,26.0,14.0,33.0,47,57,68,0,40.0,32.0,115.0
33,1999.0,0.0,49.0,1.0,0.0,0.0,43.0,29.0,50.0,0.0,0.0,0.0,122.0,122.0,66.0,0.651,0.568,0.0,32.0,13.0,21.0,47,57,68,0,50.0,29.0,122.0
34,1999.0,0.0,49.0,1.0,0.0,0.0,68.0,31.0,44.0,0.0,0.0,0.0,143.0,143.0,44.0,0.676,0.616,0.0,13.0,12.0,19.0,47,57,68,0,44.0,31.0,143.0
35,1999.0,0.0,49.0,1.0,0.0,0.0,40.0,37.0,51.0,0.0,0.0,0.0,128.0,128.0,61.0,0.661,0.58,0.0,28.0,10.0,23.0,47,57,68,0,51.0,37.0,128.0
36,1999.0,0.0,49.0,1.0,0.0,0.0,55.0,41.0,64.0,0.0,0.0,0.0,160.0,160.0,28.0,0.706,0.666,0.0,14.0,9.0,5.0,47,57,68,0,64.0,41.0,160.0
37,1999.0,0.0,49.0,1.0,0.0,0.0,36.0,29.0,40.0,0.0,0.0,0.0,105.0,105.0,82.0,0.642,0.545,0.0,32.0,16.0,34.0,47,57,68,0,40.0,29.0,105.0
38,1999.0,0.0,49.0,1.0,0.0,0.0,55.0,35.0,54.0,0.0,0.0,0.0,144.0,144.0,45.0,0.655,0.597,0.0,23.0,12.0,10.0,47,57,68,0,54.0,35.0,144.0
39,1999.0,0.0,49.0,1.0,0.0,0.0,39.0,31.0,45.0,0.0,0.0,0.0,115.0,115.0,71.0,0.678,0.579,0.0,30.0,20.0,21.0,47,57,68,0,45.0,31.0,115.0
40,1999.0,0.0,49.0,1.0,0.0,0.0,49.0,39.0,44.0,0.0,0.0,0.0,132.0,132.0,57.0,0.64,0.574,0.0,22.0,16.0,19.0,47,57,68,0,44.0,39.0,132.0
41,1999.0,0.0,49.0,1.0,0.0,0.0,33.0,37.0,45.0,0.0,0.0,0.0,115.0,115.0,73.0,0.654,0.566,0.0,33.0,17.0,23.0,47,57,68,0,45.0,37.0,115.0
42,1999.0,0.0,49.0,1.0,0.0,0.0,62.0,38.0,56.0,0.0,0.0,0.0,156.0,156.0,34.0,0.678,0.634,0.0,13.0,5.0,16.0,47,57,68,0,56.0,38.0,156.0
43,1999.0,0.0,49.0,1.0,0.0,0.0,38.0,27.0,39.0,0.0,0.0,0.0,104.0,104.0,83.0,0.62,0.532,0.0,26.0,26.0,31.0,47,57,68,0,39.0,27.0,104.0
44,1999.0,0.0,49.0,1.0,0.0,0.0,52.0,46.0,53.0,0.0,0.0,0.0,151.0,151.0,38.0,0.669,0.617,0.0,11.0,8.0,19.0,47,57,68,0,53.0,46.0,151.0
45,1999.0,0.0,49.0,1.0,0.0,0.0,33.0,29.0,43.0,0.0,0.0,0.0,105.0,105.0,84.0,0.625,0.528,0.0,32.0,16.0,36.0,47,57,68,0,43.0,29.0,105.0
46,1999.0,0.0,49.0,1.0,0.0,0.0,44.0,38.0,52.0,0.0,0.0,0.0,134.0,134.0,56.0,0.649,0.575,0.0,26.0,13.0,17.0,47,57,68,0,52.0,38.0,134.0
47,1999.0,0.0,49.0,1.0,0.0,0.0,42.0,37.0,49.0,0.0,0.0,0.0,128.0,128.0,61.0,0.647,0.577,0.0,18.0,14.0,29.0,47,57,68,0,49.0,37.0,128.0
48,1999.0,0.0,49.0,1.0,0.0,0.0,50.0,33.0,55.0,0.0,0.0,0.0,138.0,138.0,51.0,0.663,0.597,0.0,18.0,13.0,20.0,47,57,68,0,55.0,33.0,138.0
49,1999.0,0.0,49.0,1.0,0.0,0.0,57.0,33.0,55.0,0.0,0.0,0.0,145.0,145.0,44.0,0.661,0.609,0.0,16.0,12.0,16.0,47,57,68,0,55.0,33.0,145.0
50,1999.0,0.0,49.0,1.0,0.0,0.0,40.0,26.0,38.0,0.0,0.0,0.0,104.0,104.0,84.0,0.635,0.537,0.0,37.0,18.0,29.0,47,57,68,0,38.0,26.0,104.0
51,1999.0,0.0,49.0,1.0,0.0,0.0,48.0,29.0,44.0,0.0,0.0,0.0,121.0,121.0,66.0,0.655,0.574,0.0,29.0,16.0,21.0,47,57,68,0,44.0,29.0,121.0
