,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter
0,0.0,299.0,99.0,49.0,500.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.917,0.917,0.0,0.0,0.0,0.0
1,1.0,299.0,99.0,49.0,500.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.917,0.917,0.0,0.0,0.0,0.0
2,2.0,297.0,96.0,49.0,499.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.857,0.857,0.0,0.0,0.0,0.0
3,3.0,297.0,96.0,50.0,498.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.857,0.857,0.0,0.0,0.0,0.0
4,4.0,297.0,97.0,50.0,497.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.857,0.857,0.0,0.0,0.0,0.0
5,5.0,297.0,97.0,51.0,496.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.857,0.857,0.0,0.0,0.0,0.0
6,6.0,294.0,92.0,51.0,495.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,4.0,0.0,0.811,0.811,0.0,0.0,0.0,0.0
7,7.0,294.0,92.0,52.0,494.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,4.0,0.0,0.811,0.811,0.0,0.0,0.0,0.0
8,8.0,292.0,89.0,52.0,493.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,4.0,1.0,0.811,0.736,0.0,1.0,0.0,0.0
9,9.0,292.0,89.0,53.0,492.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,4.0,1.0,0.811,0.736,0.0,1.0,0.0,0.0
10,10.0,291.0,89.0,52.0,491.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,5.0,1.0,0.786,0.728,0.0,1.0,0.0,0.0
11,11.0,291.0,89.0,53.0,490.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,5.0,1.0,0.786,0.728,0.0,1.0,0.0,0.0
12,12.0,286.0,81.0,53.0,488.0,0.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0,7.0,1.0,0.781,0.739,0.0,1.0,0.0,0.0
13,13.0,286.0,81.0,55.0,486.0,0.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0,7.0,1.0,0.781,0.739,0.0,1.0,0.0,0.0
14,14.0,284.0,79.0,55.0,484.0,0.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0,7.0,2.0,0.781,0.705,0.0,2.0,0.0,0.0
15,15.0,284.0,79.0,57.0,482.0,0.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0,7.0,2.0,0.781,0.705,0.0,2.0,0.0,0.0
16,16.0,280.0,74.0,56.0,480.0,0.0,2.0,4.0,3.0,4.0,3.0,2.0,0.0,9.0,2.0,0.756,0.698,0.0,2.0,0.0,0.0
17,17.0,280.0,74.0,58.0,478.0,0.0,2.0,4.0,3.0,4.0,3.0,2.0,0.0,9.0,2.0,0.756,0.698,0.0,2.0,0.0,0.0
18,18.0,274.0,65.0,58.0,475.0,0.0,3.0,4.0,3.0,4.0,3.0,3.0,0.0,10.0,4.0,0.744,0.66,0.0,3.0,1.0,0.0
19,19.0,274.0,65.0,61.0,472.0,0.0,3.0,4.0,3.0,4.0,3.0,3.0,0.0,10.0,4.0,0.744,0.66,0.0,3.0,1.0,0.0
20,20.0,273.0,67.0,60.0,469.0,0.0,3.0,4.0,4.0,4.0,4.0,3.0,0.0,11.0,4.0,0.756,0.674,0.0,3.0,1.0,0.0
21,21.0,273.0,67.0,63.0,466.0,0.0,3.0,4.0,4.0,4.0,4.0,3.0,0.0,11.0,4.0,0.756,0.674,0.0,3.0,1.0,0.0
22,22.0,265.0,56.0,62.0,462.0,0.0,4.0,5.0,5.0,5.0,5.0,4.0,0.0,14.0,5.0,0.747,0.67,0.0,3.0,2.0,0.0
23,23.0,265.0,56.0,66.0,458.0,0.0,4.0,5.0,5.0,5.0,5.0,4.0,0.0,14.0,5.0,0.747,0.67,0.0,3.0,2.0,0.0
24,24.0,261.0,53.0,65.0,454.0,0.0,4.0,5.0,5.0,5.0,5.0,4.0,0.0,14.0,7.0,0.747,0.649,0.0,5.0,2.0,0.0
25,25.0,261.0,53.0,69.0,450.0,0.0,4.0,5.0,5.0,5.0,5.0,4.0,0.0,14.0,7.0,0.747,0.649,0.0,5.0,2.0,0.0
26,26.0,256.0,50.0,66.0,446.0,0.0,4.0,6.0,7.0,6.0,7.0,4.0,0.0,17.0,7.0,0.735,0.652,0.0,5.0,2.0,0.0
27,27.0,256.0,50.0,70.0,442.0,0.0,4.0,6.0,7.0,6.0,7.0,4.0,0.0,17.0,7.0,0.735,0.652,0.0,5.0,2.0,0.0
28,28.0,244.0,33.0,70.0,435.0,0.0,7.0,8.0,7.0,8.0,7.0,7.0,0.0,22.0,7.0,0.7,0.64,0.0,5.0,2.0,0.0
29,29.0,244.0,33.0,77.0,428.0,0.0,7.0,8.0,7.0,8.0,7.0,7.0,0.0,22.0,7.0,0.7,0.64,0.0,5.0,2.0,0.0
30,30.0,239.0,31.0,76.0,421.0,0.0,7.0,8.0,8.0,8.0,8.0,7.0,0.0,23.0,9.0,0.707,0.634,0.0,7.0,2.0,0.0
