,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter
0,0.0,297.0,94.0,50.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.885,0.885,0.0,0.0,0.0,0.0
1,1.0,297.0,94.0,50.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.885,0.885,0.0,0.0,0.0,0.0
2,2.0,297.0,94.0,50.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.885,0.885,0.0,0.0,0.0,0.0
3,3.0,297.0,94.0,50.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.885,0.885,0.0,0.0,0.0,0.0
4,4.0,297.0,94.0,50.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.885,0.885,0.0,0.0,0.0,0.0
5,5.0,297.0,94.0,50.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.885,0.885,0.0,0.0,0.0,0.0
6,6.0,293.0,86.0,50.0,500.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.804,0.804,0.0,0.0,0.0,0.0
7,7.0,293.0,86.0,50.0,500.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.804,0.804,0.0,0.0,0.0,0.0
8,8.0,290.0,80.0,51.0,499.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.754,0.754,0.0,0.0,0.0,0.0
9,9.0,290.0,80.0,52.0,498.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.754,0.754,0.0,0.0,0.0,0.0
10,10.0,290.0,80.0,53.0,497.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.754,0.754,0.0,0.0,0.0,0.0
11,11.0,290.0,80.0,54.0,496.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.754,0.754,0.0,0.0,0.0,0.0
12,12.0,286.0,72.0,55.0,495.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.705,0.705,0.0,0.0,0.0,0.0
13,13.0,286.0,72.0,56.0,494.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.705,0.705,0.0,0.0,0.0,0.0
14,14.0,279.0,58.0,57.0,493.0,4.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,5.0,1.0,0.746,0.704,0.0,1.0,0.0,0.0
15,15.0,279.0,58.0,58.0,492.0,4.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,5.0,1.0,0.746,0.704,0.0,1.0,0.0,0.0
16,16.0,276.0,52.0,60.0,490.0,4.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,6.0,1.0,0.755,0.717,0.0,1.0,0.0,0.0
17,17.0,276.0,52.0,62.0,488.0,4.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,6.0,1.0,0.755,0.717,0.0,1.0,0.0,0.0
18,18.0,275.0,50.0,64.0,486.0,4.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,6.0,2.0,0.755,0.682,1.0,1.0,0.0,0.0
19,19.0,275.0,50.0,66.0,484.0,4.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,6.0,2.0,0.755,0.682,1.0,1.0,0.0,0.0
20,20.0,264.0,28.0,68.0,482.0,6.0,2.0,0.0,0.0,6.0,0.0,2.0,0.0,8.0,3.0,0.747,0.662,1.0,2.0,0.0,0.0
21,21.0,264.0,28.0,70.0,480.0,6.0,2.0,0.0,0.0,6.0,0.0,2.0,0.0,8.0,3.0,0.747,0.662,1.0,2.0,0.0,0.0
22,22.0,254.0,8.0,74.0,476.0,7.0,4.0,0.0,0.0,7.0,0.0,4.0,0.0,11.0,3.0,0.737,0.672,1.0,2.0,0.0,0.0
23,23.0,254.0,8.0,78.0,472.0,7.0,4.0,0.0,0.0,7.0,0.0,4.0,0.0,11.0,3.0,0.737,0.672,1.0,2.0,0.0,0.0
24,24.0,251.0,2.0,83.0,467.0,7.0,5.0,0.0,0.0,7.0,0.0,5.0,0.0,12.0,3.0,0.732,0.673,1.0,2.0,0.0,0.0
25,25.0,251.0,2.0,88.0,462.0,7.0,5.0,0.0,0.0,7.0,0.0,5.0,0.0,12.0,3.0,0.732,0.673,1.0,2.0,0.0,0.0
26,26.0,250.0,2.0,92.0,456.0,7.0,6.0,0.0,0.0,5.0,2.0,6.0,0.0,13.0,5.0,0.718,0.636,2.0,3.0,0.0,0.0
27,27.0,250.0,2.0,98.0,450.0,7.0,6.0,0.0,0.0,5.0,2.0,6.0,0.0,13.0,5.0,0.718,0.636,2.0,3.0,0.0,0.0
28,28.0,247.0,1.0,100.0,443.0,9.0,7.0,0.0,0.0,4.0,5.0,7.0,0.0,16.0,6.0,0.727,0.647,3.0,3.0,0.0,0.0
29,29.0,247.0,1.0,107.0,436.0,9.0,7.0,0.0,0.0,4.0,5.0,7.0,0.0,16.0,6.0,0.727,0.647,3.0,3.0,0.0,0.0
30,30.0,244.0,4.0,106.0,428.0,12.0,8.0,0.0,0.0,3.0,9.0,8.0,0.0,20.0,6.0,0.717,0.651,3.0,3.0,0.0,0.0
