,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter
0,99.0,0.0,49.0,1.0,0.0,68.0,28.0,0.0,0.0,0.0,0.0,0.0,96.0,96.0,67.0,0.656,0.557,46.0,21.0,0.0,0.0
1,99.0,0.0,49.0,1.0,0.0,61.0,26.0,0.0,0.0,0.0,0.0,0.0,87.0,87.0,74.0,0.637,0.534,55.0,19.0,0.0,0.0
2,99.0,0.0,49.0,1.0,0.0,74.0,24.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,67.0,0.631,0.548,51.0,16.0,0.0,0.0
3,99.0,0.0,49.0,1.0,0.0,77.0,37.0,0.0,0.0,0.0,0.0,0.0,114.0,114.0,45.0,0.671,0.602,31.0,14.0,0.0,0.0
4,99.0,0.0,49.0,1.0,0.0,69.0,32.0,0.0,0.0,0.0,0.0,0.0,101.0,101.0,62.0,0.641,0.549,43.0,19.0,0.0,0.0
5,99.0,0.0,49.0,1.0,0.0,53.0,26.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,80.0,0.613,0.507,58.0,22.0,0.0,0.0
6,99.0,0.0,49.0,1.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,63.0,0.647,0.559,49.0,14.0,0.0,0.0
7,99.0,0.0,49.0,1.0,0.0,61.0,40.0,0.0,0.0,0.0,0.0,0.0,101.0,101.0,54.0,0.642,0.562,42.0,12.0,0.0,0.0
8,99.0,0.0,49.0,1.0,0.0,66.0,27.0,0.0,0.0,0.0,0.0,0.0,93.0,93.0,72.0,0.624,0.531,54.0,18.0,0.0,0.0
9,99.0,0.0,49.0,1.0,0.0,60.0,31.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,70.0,0.646,0.544,57.0,13.0,0.0,0.0
10,99.0,0.0,49.0,1.0,0.0,59.0,23.0,0.0,0.0,0.0,0.0,0.0,82.0,82.0,81.0,0.611,0.51,62.0,19.0,0.0,0.0
11,99.0,0.0,49.0,1.0,0.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,87.0,0.615,0.501,60.0,27.0,0.0,0.0
12,99.0,0.0,49.0,1.0,0.0,61.0,44.0,0.0,0.0,0.0,0.0,0.0,105.0,105.0,50.0,0.665,0.587,37.0,13.0,0.0,0.0
13,99.0,0.0,49.0,1.0,0.0,51.0,15.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,93.0,0.622,0.498,72.0,21.0,0.0,0.0
14,99.0,0.0,49.0,1.0,0.0,71.0,33.0,0.0,0.0,0.0,0.0,0.0,104.0,104.0,59.0,0.669,0.582,41.0,18.0,0.0,0.0
15,99.0,0.0,49.0,1.0,0.0,82.0,34.0,0.0,0.0,0.0,0.0,0.0,116.0,116.0,51.0,0.67,0.59,45.0,6.0,0.0,0.0
16,99.0,0.0,49.0,1.0,0.0,76.0,36.0,0.0,0.0,0.0,0.0,0.0,112.0,112.0,51.0,0.653,0.579,41.0,10.0,0.0,0.0
17,99.0,0.0,49.0,1.0,0.0,72.0,33.0,0.0,0.0,0.0,0.0,0.0,105.0,105.0,54.0,0.646,0.57,37.0,17.0,0.0,0.0
18,99.0,0.0,49.0,1.0,0.0,72.0,32.0,0.0,0.0,0.0,0.0,0.0,104.0,104.0,63.0,0.641,0.552,51.0,12.0,0.0,0.0
19,99.0,0.0,49.0,1.0,0.0,89.0,29.0,0.0,0.0,0.0,0.0,0.0,118.0,118.0,51.0,0.664,0.59,41.0,10.0,0.0,0.0
20,99.0,0.0,49.0,1.0,0.0,60.0,21.0,0.0,0.0,0.0,0.0,0.0,81.0,81.0,80.0,0.622,0.513,55.0,25.0,0.0,0.0
21,99.0,0.0,49.0,1.0,0.0,81.0,27.0,0.0,0.0,0.0,0.0,0.0,108.0,108.0,57.0,0.651,0.575,42.0,15.0,0.0,0.0
22,99.0,0.0,49.0,1.0,0.0,85.0,41.0,0.0,0.0,0.0,0.0,0.0,126.0,126.0,39.0,0.657,0.599,31.0,8.0,0.0,0.0
23,99.0,0.0,49.0,1.0,0.0,71.0,28.0,0.0,0.0,0.0,0.0,0.0,99.0,99.0,62.0,0.644,0.56,44.0,18.0,0.0,0.0
24,99.0,0.0,49.0,1.0,0.0,75.0,30.0,0.0,0.0,0.0,0.0,0.0,105.0,105.0,56.0,0.666,0.578,41.0,15.0,0.0,0.0
25,99.0,0.0,49.0,1.0,0.0,78.0,23.0,0.0,0.0,0.0,0.0,0.0,101.0,101.0,68.0,0.652,0.555,59.0,9.0,0.0,0.0
26,99.0,0.0,49.0,1.0,0.0,67.0,32.0,0.0,0.0,0.0,0.0,0.0,99.0,99.0,62.0,0.631,0.544,46.0,16.0,0.0,0.0
27,99.0,0.0,49.0,1.0,0.0,60.0,25.0,0.0,0.0,0.0,0.0,0.0,85.0,85.0,78.0,0.613,0.513,52.0,26.0,0.0,0.0
28,99.0,0.0,49.0,1.0,0.0,64.0,25.0,0.0,0.0,0.0,0.0,0.0,89.0,89.0,76.0,0.62,0.524,59.0,17.0,0.0,0.0
29,99.0,0.0,49.0,1.0,0.0,73.0,23.0,0.0,0.0,0.0,0.0,0.0,96.0,96.0,67.0,0.633,0.543,51.0,16.0,0.0,0.0
30,99.0,0.0,49.0,1.0,0.0,74.0,23.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,66.0,0.652,0.553,47.0,19.0,0.0,0.0
31,99.0,0.0,49.0,1.0,0.0,92.0,29.0,0.0,0.0,0.0,0.0,0.0,121.0,121.0,48.0,0.674,0.602,35.0,13.0,0.0,0.0
32,99.0,0.0,49.0,1.0,0.0,74.0,24.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,67.0,0.635,0.546,46.0,21.0,0.0,0.0
33,99.0,0.0,49.0,1.0,0.0,66.0,40.0,0.0,0.0,0.0,0.0,0.0,106.0,106.0,55.0,0.63,0.55,43.0,12.0,0.0,0.0
34,99.0,0.0,49.0,1.0,0.0,76.0,26.0,0.0,0.0,0.0,0.0,0.0,102.0,102.0,67.0,0.633,0.544,55.0,12.0,0.0,0.0
35,99.0,0.0,49.0,1.0,0.0,72.0,35.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,56.0,0.674,0.583,38.0,18.0,0.0,0.0
36,99.0,0.0,49.0,1.0,0.0,72.0,36.0,0.0,0.0,0.0,0.0,0.0,108.0,108.0,53.0,0.637,0.562,41.0,12.0,0.0,0.0
37,99.0,0.0,49.0,1.0,0.0,77.0,38.0,0.0,0.0,0.0,0.0,0.0,115.0,115.0,50.0,0.668,0.59,35.0,15.0,0.0,0.0
