,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Print Capacity,Assembling Capacity,Collection Capacity
0,99.0,0.0,49.0,1.0,0.0,76.0,15.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,84.0,0.61,0.515,73.0,11.0,0.0,0.0,80,50,76,68,76.0,76.0,91.0
1,99.0,0.0,49.0,1.0,0.0,64.0,32.0,0.0,0.0,0.0,0.0,0.0,96.0,96.0,63.0,0.65,0.558,46.0,17.0,0.0,0.0,63,44,74,74,64.0,64.0,96.0
2,99.0,0.0,49.0,1.0,0.0,64.0,23.0,0.0,0.0,0.0,0.0,0.0,87.0,87.0,74.0,0.617,0.519,54.0,20.0,0.0,0.0,70,26,70,72,64.0,64.0,87.0
3,99.0,0.0,49.0,1.0,0.0,75.0,32.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,52.0,0.672,0.591,38.0,14.0,0.0,0.0,60,40,62,64,75.0,75.0,107.0
4,99.0,0.0,49.0,1.0,0.0,67.0,24.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,70.0,0.658,0.554,53.0,17.0,0.0,0.0,72,66,76,76,67.0,67.0,91.0
5,99.0,0.0,49.0,1.0,0.0,66.0,30.0,0.0,0.0,0.0,0.0,0.0,96.0,96.0,65.0,0.639,0.546,47.0,18.0,0.0,0.0,68,54,74,76,66.0,66.0,96.0
6,99.0,0.0,49.0,1.0,0.0,75.0,27.0,0.0,0.0,0.0,0.0,0.0,102.0,102.0,59.0,0.625,0.548,41.0,18.0,0.0,0.0,60,40,66,68,75.0,75.0,102.0
7,99.0,0.0,49.0,1.0,0.0,56.0,15.0,0.0,0.0,0.0,0.0,0.0,71.0,71.0,88.0,0.63,0.506,59.0,29.0,0.0,0.0,81,32,80,82,56.0,56.0,71.0
8,99.0,0.0,49.0,1.0,0.0,69.0,19.0,0.0,0.0,0.0,0.0,0.0,88.0,88.0,75.0,0.614,0.521,56.0,19.0,0.0,0.0,70,62,70,70,69.0,69.0,88.0
9,99.0,0.0,49.0,1.0,0.0,48.0,25.0,0.0,0.0,0.0,0.0,0.0,73.0,73.0,86.0,0.617,0.509,69.0,17.0,0.0,0.0,72,54,86,88,48.0,48.0,73.0
10,99.0,0.0,49.0,1.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,59.0,0.629,0.551,43.0,16.0,0.0,0.0,60,24,78,80,66.0,66.0,100.0
11,99.0,0.0,49.0,1.0,0.0,66.0,25.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,70.0,0.608,0.526,49.0,21.0,0.0,0.0,65,32,72,74,66.0,66.0,91.0
12,99.0,0.0,49.0,1.0,0.0,65.0,31.0,0.0,0.0,0.0,0.0,0.0,96.0,96.0,69.0,0.634,0.541,58.0,11.0,0.0,0.0,60,40,68,70,65.0,65.0,96.0
13,99.0,0.0,49.0,1.0,0.0,75.0,29.0,0.0,0.0,0.0,0.0,0.0,104.0,104.0,61.0,0.663,0.572,43.0,18.0,0.0,0.0,65,48,68,70,75.0,75.0,104.0
14,99.0,0.0,49.0,1.0,0.0,73.0,32.0,0.0,0.0,0.0,0.0,0.0,105.0,105.0,64.0,0.643,0.554,56.0,8.0,0.0,0.0,59,36,72,74,73.0,73.0,105.0
15,99.0,0.0,49.0,1.0,0.0,63.0,27.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,73.0,0.641,0.542,56.0,17.0,0.0,0.0,68,26,72,72,63.0,63.0,90.0
16,99.0,0.0,49.0,1.0,0.0,80.0,27.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,62.0,0.648,0.566,46.0,16.0,0.0,0.0,60,38,68,70,80.0,80.0,107.0
17,99.0,0.0,49.0,1.0,0.0,71.0,31.0,0.0,0.0,0.0,0.0,0.0,102.0,102.0,61.0,0.656,0.568,43.0,18.0,0.0,0.0,64,32,74,74,71.0,71.0,102.0
18,99.0,0.0,49.0,1.0,0.0,64.0,32.0,0.0,0.0,0.0,0.0,0.0,96.0,96.0,63.0,0.665,0.57,47.0,16.0,0.0,0.0,60,40,68,70,64.0,64.0,96.0
19,99.0,0.0,49.0,1.0,0.0,88.0,27.0,0.0,0.0,0.0,0.0,0.0,115.0,115.0,56.0,0.677,0.591,43.0,13.0,0.0,0.0,61,40,59,60,88.0,88.0,115.0
