,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter
0,0.0,299.0,99.0,49.0,500.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.919,0.919,0.0,0.0,0.0,0.0
1,1.0,299.0,99.0,49.0,500.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.919,0.919,0.0,0.0,0.0,0.0
2,2.0,298.0,98.0,49.0,499.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.927,0.927,0.0,0.0,0.0,0.0
3,3.0,298.0,98.0,50.0,498.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.927,0.927,0.0,0.0,0.0,0.0
4,4.0,297.0,97.0,51.0,496.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,4.0,0.0,0.892,0.892,0.0,0.0,0.0,0.0
5,5.0,297.0,97.0,53.0,494.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,4.0,0.0,0.892,0.892,0.0,0.0,0.0,0.0
6,6.0,296.0,96.0,55.0,491.0,0.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,5.0,0.0,0.888,0.888,0.0,0.0,0.0,0.0
7,7.0,296.0,96.0,58.0,488.0,0.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,5.0,0.0,0.888,0.888,0.0,0.0,0.0,0.0
8,8.0,295.0,95.0,61.0,484.0,0.0,4.0,1.0,1.0,1.0,1.0,4.0,0.0,6.0,0.0,0.866,0.866,0.0,0.0,0.0,0.0
9,9.0,295.0,95.0,65.0,480.0,0.0,4.0,1.0,1.0,1.0,1.0,4.0,0.0,6.0,0.0,0.866,0.866,0.0,0.0,0.0,0.0
10,10.0,294.0,94.0,69.0,475.0,0.0,5.0,1.0,1.0,1.0,1.0,5.0,0.0,7.0,0.0,0.853,0.853,0.0,0.0,0.0,0.0
