,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter
0,0.0,299.0,98.0,50.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.915,0.915,0.0,0.0,0.0,0.0
1,1.0,299.0,98.0,50.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.915,0.915,0.0,0.0,0.0,0.0
2,2.0,298.0,96.0,51.0,499.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.805,0.805,0.0,0.0,0.0,0.0
3,3.0,298.0,96.0,52.0,498.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.805,0.805,0.0,0.0,0.0,0.0
4,4.0,297.0,94.0,54.0,496.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.833,0.833,0.0,0.0,0.0,0.0
5,5.0,297.0,94.0,56.0,494.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.833,0.833,0.0,0.0,0.0,0.0
6,6.0,296.0,92.0,59.0,491.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,0.851,0.851,0.0,0.0,0.0,0.0
7,7.0,296.0,92.0,62.0,488.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,0.851,0.851,0.0,0.0,0.0,0.0
8,8.0,295.0,90.0,66.0,484.0,1.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,5.0,0.0,0.821,0.821,0.0,0.0,0.0,0.0
9,9.0,295.0,90.0,70.0,480.0,1.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,5.0,0.0,0.821,0.821,0.0,0.0,0.0,0.0
10,10.0,294.0,88.0,75.0,475.0,1.0,5.0,0.0,0.0,1.0,0.0,5.0,0.0,6.0,0.0,0.807,0.807,0.0,0.0,0.0,0.0
11,11.0,294.0,88.0,80.0,470.0,1.0,5.0,0.0,0.0,1.0,0.0,5.0,0.0,6.0,0.0,0.807,0.807,0.0,0.0,0.0,0.0
12,12.0,293.0,86.0,86.0,464.0,1.0,6.0,0.0,0.0,1.0,0.0,6.0,0.0,7.0,0.0,0.802,0.802,0.0,0.0,0.0,0.0
13,13.0,293.0,86.0,92.0,458.0,1.0,6.0,0.0,0.0,1.0,0.0,6.0,0.0,7.0,0.0,0.802,0.802,0.0,0.0,0.0,0.0
14,14.0,292.0,84.0,99.0,451.0,1.0,7.0,0.0,0.0,1.0,0.0,7.0,0.0,8.0,0.0,0.814,0.814,0.0,0.0,0.0,0.0
15,15.0,292.0,84.0,106.0,444.0,1.0,7.0,0.0,0.0,1.0,0.0,7.0,0.0,8.0,0.0,0.814,0.814,0.0,0.0,0.0,0.0
16,16.0,291.0,82.0,114.0,436.0,1.0,8.0,0.0,0.0,1.0,0.0,8.0,0.0,9.0,0.0,0.811,0.811,0.0,0.0,0.0,0.0
17,17.0,291.0,82.0,122.0,428.0,1.0,8.0,0.0,0.0,1.0,0.0,8.0,0.0,9.0,0.0,0.811,0.811,0.0,0.0,0.0,0.0
18,18.0,290.0,80.0,131.0,419.0,1.0,9.0,0.0,0.0,1.0,0.0,9.0,0.0,10.0,0.0,0.809,0.809,0.0,0.0,0.0,0.0
19,19.0,290.0,80.0,140.0,410.0,1.0,9.0,0.0,0.0,1.0,0.0,9.0,0.0,10.0,0.0,0.809,0.809,0.0,0.0,0.0,0.0
20,20.0,289.0,78.0,150.0,400.0,1.0,10.0,0.0,0.0,1.0,0.0,10.0,0.0,11.0,0.0,0.804,0.804,0.0,0.0,0.0,0.0
21,21.0,289.0,78.0,160.0,390.0,1.0,10.0,0.0,0.0,1.0,0.0,10.0,0.0,11.0,0.0,0.804,0.804,0.0,0.0,0.0,0.0
22,22.0,288.0,76.0,171.0,379.0,1.0,11.0,0.0,0.0,1.0,0.0,11.0,0.0,12.0,0.0,0.816,0.816,0.0,0.0,0.0,0.0
23,23.0,288.0,76.0,182.0,368.0,1.0,11.0,0.0,0.0,1.0,0.0,11.0,0.0,12.0,0.0,0.816,0.816,0.0,0.0,0.0,0.0
24,24.0,287.0,74.0,194.0,356.0,1.0,12.0,0.0,0.0,1.0,0.0,12.0,0.0,13.0,0.0,0.808,0.808,0.0,0.0,0.0,0.0
25,25.0,287.0,74.0,206.0,344.0,1.0,12.0,0.0,0.0,1.0,0.0,12.0,0.0,13.0,0.0,0.808,0.808,0.0,0.0,0.0,0.0
26,26.0,286.0,72.0,219.0,331.0,1.0,13.0,0.0,0.0,1.0,0.0,13.0,0.0,14.0,0.0,0.801,0.801,0.0,0.0,0.0,0.0
27,27.0,286.0,72.0,232.0,318.0,1.0,13.0,0.0,0.0,1.0,0.0,13.0,0.0,14.0,0.0,0.801,0.801,0.0,0.0,0.0,0.0
28,28.0,285.0,70.0,246.0,304.0,1.0,14.0,0.0,0.0,1.0,0.0,14.0,0.0,15.0,0.0,0.805,0.805,0.0,0.0,0.0,0.0
29,29.0,285.0,70.0,260.0,290.0,1.0,14.0,0.0,0.0,1.0,0.0,14.0,0.0,15.0,0.0,0.805,0.805,0.0,0.0,0.0,0.0
30,30.0,284.0,68.0,275.0,275.0,1.0,15.0,0.0,0.0,1.0,0.0,15.0,0.0,16.0,0.0,0.798,0.798,0.0,0.0,0.0,0.0
31,31.0,284.0,68.0,290.0,260.0,1.0,15.0,0.0,0.0,1.0,0.0,15.0,0.0,16.0,0.0,0.798,0.798,0.0,0.0,0.0,0.0
32,32.0,283.0,66.0,306.0,244.0,1.0,16.0,0.0,0.0,1.0,0.0,16.0,0.0,17.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0
33,33.0,283.0,66.0,322.0,228.0,1.0,16.0,0.0,0.0,1.0,0.0,16.0,0.0,17.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0
34,34.0,282.0,64.0,339.0,211.0,1.0,17.0,0.0,0.0,1.0,0.0,17.0,0.0,18.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0
35,35.0,282.0,64.0,356.0,194.0,1.0,17.0,0.0,0.0,1.0,0.0,17.0,0.0,18.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0
36,36.0,281.0,62.0,374.0,176.0,1.0,18.0,0.0,0.0,1.0,0.0,18.0,0.0,19.0,0.0,0.798,0.798,0.0,0.0,0.0,0.0
37,37.0,281.0,62.0,392.0,158.0,1.0,18.0,0.0,0.0,1.0,0.0,18.0,0.0,19.0,0.0,0.798,0.798,0.0,0.0,0.0,0.0
38,38.0,280.0,60.0,411.0,139.0,1.0,19.0,0.0,0.0,1.0,0.0,19.0,0.0,20.0,0.0,0.792,0.792,0.0,0.0,0.0,0.0
39,39.0,280.0,60.0,430.0,120.0,1.0,19.0,0.0,0.0,1.0,0.0,19.0,0.0,20.0,0.0,0.792,0.792,0.0,0.0,0.0,0.0
40,40.0,279.0,58.0,450.0,100.0,1.0,20.0,0.0,0.0,1.0,0.0,20.0,0.0,21.0,0.0,0.793,0.793,0.0,0.0,0.0,0.0
41,41.0,279.0,58.0,470.0,80.0,1.0,20.0,0.0,0.0,1.0,0.0,20.0,0.0,21.0,0.0,0.793,0.793,0.0,0.0,0.0,0.0
42,42.0,278.0,56.0,491.0,59.0,1.0,21.0,0.0,0.0,1.0,0.0,21.0,0.0,22.0,0.0,0.793,0.793,0.0,0.0,0.0,0.0
43,43.0,278.0,56.0,512.0,38.0,1.0,21.0,0.0,0.0,1.0,0.0,21.0,0.0,22.0,0.0,0.793,0.793,0.0,0.0,0.0,0.0
44,44.0,277.0,54.0,534.0,16.0,1.0,22.0,0.0,0.0,1.0,0.0,22.0,0.0,23.0,0.0,0.799,0.799,0.0,0.0,0.0,0.0
45,45.0,277.0,54.0,550.0,0.0,1.0,22.0,0.0,0.0,1.0,0.0,16.0,6.0,23.0,0.0,0.799,0.799,0.0,0.0,0.0,0.0
46,46.0,276.0,52.0,550.0,0.0,1.0,23.0,0.0,0.0,1.0,0.0,0.0,23.0,24.0,0.0,0.795,0.795,0.0,0.0,0.0,0.0
47,47.0,276.0,52.0,550.0,0.0,1.0,23.0,0.0,0.0,1.0,0.0,0.0,23.0,24.0,0.0,0.795,0.795,0.0,0.0,0.0,0.0
48,48.0,275.0,50.0,550.0,0.0,1.0,24.0,0.0,0.0,1.0,0.0,0.0,24.0,25.0,0.0,0.799,0.799,0.0,0.0,0.0,0.0
49,49.0,275.0,50.0,550.0,0.0,1.0,24.0,0.0,0.0,1.0,0.0,0.0,24.0,25.0,0.0,0.799,0.799,0.0,0.0,0.0,0.0
