,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter
0,0.0,299.0,99.0,49.0,500.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.883,0.883,0.0,0.0,0.0,0.0
1,1.0,299.0,99.0,49.0,500.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.883,0.883,0.0,0.0,0.0,0.0
2,2.0,297.0,96.0,49.0,499.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.836,0.836,0.0,0.0,0.0,0.0
3,3.0,297.0,96.0,50.0,498.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.836,0.836,0.0,0.0,0.0,0.0
4,4.0,297.0,97.0,50.0,497.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.836,0.836,0.0,0.0,0.0,0.0
5,5.0,297.0,97.0,51.0,496.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.836,0.836,0.0,0.0,0.0,0.0
6,6.0,294.0,92.0,51.0,495.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,4.0,0.0,0.793,0.793,0.0,0.0,0.0,0.0
7,7.0,294.0,92.0,52.0,494.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,4.0,0.0,0.793,0.793,0.0,0.0,0.0,0.0
8,8.0,292.0,89.0,52.0,493.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,4.0,1.0,0.793,0.729,0.0,1.0,0.0,0.0
9,9.0,292.0,89.0,53.0,492.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,4.0,1.0,0.793,0.729,0.0,1.0,0.0,0.0
10,10.0,291.0,89.0,52.0,491.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,5.0,1.0,0.763,0.715,0.0,1.0,0.0,0.0
11,11.0,291.0,89.0,53.0,490.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,5.0,1.0,0.763,0.715,0.0,1.0,0.0,0.0
12,12.0,287.0,83.0,53.0,488.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,6.0,2.0,0.758,0.679,0.0,1.0,1.0,0.0
13,13.0,287.0,83.0,55.0,486.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,6.0,2.0,0.758,0.679,0.0,1.0,1.0,0.0
14,14.0,287.0,85.0,55.0,484.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,6.0,2.0,0.758,0.679,0.0,1.0,1.0,0.0
15,15.0,287.0,85.0,57.0,482.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,6.0,2.0,0.758,0.679,0.0,1.0,1.0,0.0
16,16.0,283.0,79.0,57.0,480.0,0.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0,7.0,3.0,0.751,0.661,0.0,1.0,1.0,1.0
17,17.0,283.0,79.0,59.0,478.0,0.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0,7.0,3.0,0.751,0.661,0.0,1.0,1.0,1.0
18,18.0,279.0,73.0,61.0,474.0,0.0,4.0,3.0,2.0,3.0,2.0,4.0,0.0,9.0,3.0,0.722,0.654,0.0,1.0,1.0,1.0
19,19.0,279.0,73.0,65.0,470.0,0.0,4.0,3.0,2.0,3.0,2.0,4.0,0.0,9.0,3.0,0.722,0.654,0.0,1.0,1.0,1.0
20,20.0,278.0,74.0,66.0,466.0,0.0,4.0,3.0,3.0,3.0,3.0,4.0,0.0,10.0,3.0,0.724,0.661,0.0,1.0,1.0,1.0
21,21.0,278.0,74.0,70.0,462.0,0.0,4.0,3.0,3.0,3.0,3.0,4.0,0.0,10.0,3.0,0.724,0.661,0.0,1.0,1.0,1.0
