,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter
0,0.0,297.0,94.0,50.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.868,0.868,0.0,0.0,0.0,0.0
1,1.0,297.0,94.0,50.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.868,0.868,0.0,0.0,0.0,0.0
2,2.0,297.0,94.0,50.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.868,0.868,0.0,0.0,0.0,0.0
3,3.0,297.0,94.0,50.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.868,0.868,0.0,0.0,0.0,0.0
4,4.0,297.0,94.0,50.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.868,0.868,0.0,0.0,0.0,0.0
5,5.0,297.0,94.0,50.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.868,0.868,0.0,0.0,0.0,0.0
6,6.0,291.0,82.0,50.0,500.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.767,0.767,0.0,0.0,0.0,0.0
7,7.0,288.0,76.0,50.0,500.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.767,0.767,0.0,0.0,0.0,0.0
8,8.0,288.0,76.0,50.0,500.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.767,0.767,0.0,0.0,0.0,0.0
9,9.0,288.0,76.0,50.0,500.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.767,0.767,0.0,0.0,0.0,0.0
10,10.0,288.0,76.0,50.0,500.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.767,0.767,0.0,0.0,0.0,0.0
11,11.0,288.0,76.0,50.0,500.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.767,0.767,0.0,0.0,0.0,0.0
12,12.0,282.0,64.0,50.0,500.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.811,0.811,0.0,0.0,0.0,0.0
13,13.0,273.0,46.0,50.0,500.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,0.0,0.738,0.738,0.0,0.0,0.0,0.0
14,14.0,270.0,40.0,50.0,500.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.738,0.738,0.0,0.0,0.0,0.0
15,15.0,270.0,40.0,50.0,500.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.738,0.738,0.0,0.0,0.0,0.0
16,16.0,270.0,40.0,50.0,500.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.738,0.738,0.0,0.0,0.0,0.0
17,17.0,270.0,40.0,50.0,500.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.738,0.738,0.0,0.0,0.0,0.0
18,18.0,264.0,28.0,50.0,500.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,0.732,0.732,0.0,0.0,0.0,0.0
19,19.0,252.0,5.0,49.0,500.0,7.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,7.0,0.0,0.695,0.695,0.0,0.0,0.0,0.0
20,20.0,249.0,1.0,47.0,500.0,7.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,7.0,1.0,0.695,0.655,1.0,0.0,0.0,0.0
21,21.0,249.0,2.0,46.0,500.0,7.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,7.0,1.0,0.695,0.655,1.0,0.0,0.0,0.0
22,22.0,249.0,4.0,44.0,500.0,7.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,7.0,1.0,0.695,0.655,1.0,0.0,0.0,0.0
23,23.0,249.0,5.0,43.0,500.0,7.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,7.0,1.0,0.695,0.655,1.0,0.0,0.0,0.0
24,24.0,246.0,2.0,40.0,500.0,8.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,8.0,1.0,0.687,0.653,1.0,0.0,0.0,0.0
25,25.0,243.0,0.0,36.0,500.0,9.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,9.0,2.0,0.707,0.657,2.0,0.0,0.0,0.0
26,26.0,243.0,4.0,32.0,500.0,9.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,9.0,3.0,0.707,0.629,3.0,0.0,0.0,0.0
27,27.0,240.0,0.0,30.0,500.0,9.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,9.0,3.0,0.707,0.629,3.0,0.0,0.0,0.0
28,28.0,240.0,4.0,26.0,500.0,9.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,9.0,3.0,0.707,0.629,3.0,0.0,0.0,0.0
29,29.0,240.0,6.0,24.0,500.0,9.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,9.0,3.0,0.707,0.629,3.0,0.0,0.0,0.0
30,30.0,237.0,5.0,19.0,500.0,10.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,10.0,3.0,0.711,0.638,3.0,0.0,0.0,0.0
31,31.0,234.0,2.0,16.0,500.0,10.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,10.0,4.0,0.711,0.628,4.0,0.0,0.0,0.0
32,32.0,231.0,0.0,12.0,500.0,10.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,10.0,4.0,0.711,0.628,4.0,0.0,0.0,0.0
33,33.0,231.0,5.0,7.0,500.0,11.0,0.0,0.0,0.0,2.0,8.0,0.0,1.0,11.0,4.0,0.709,0.632,4.0,0.0,0.0,0.0
34,34.0,228.0,3.0,3.0,500.0,11.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,11.0,4.0,0.709,0.632,4.0,0.0,0.0,0.0
